32,561a6fc5e308,add2q_l,L1: The message is added to the processing queue from the core,0,220,cycle
2f,561a6fc5e300,add2q_l,L1: The message is added to the processing queue from the core,a,220,cycle
2f,561a6fc5e300,Miss?  ,L1: Was the request a miss?,a,1,boolean
2f,561a6fc5e300,LLCredy,,a,220,cycle
2f,561a6fc5e300,msgProc,L1: message is taken from the L1's processing queue to be processed,a,220,cycle
2f,561a6fc5e300,add_req,L1: the core's controller processes the message -> miss -> sends req to LLC,a,220,cycle
33,561a6fc5e30c,add2q_l,L1: The message is added to the processing queue from the core,0,221,cycle
35,561a6fc5e310,add2q_l,L1: The message is added to the processing queue from the core,0,222,cycle
36,561a6fc5e314,add2q_l,L1: The message is added to the processing queue from the core,0,223,cycle
37,561a6fc5e318,add2q_l,L1: The message is added to the processing queue from the core,0,224,cycle
38,561a6fc5e31c,add2q_l,L1: The message is added to the processing queue from the core,0,225,cycle
2f,561a6fc5e300,add2q_u,L1 receives message from the bus,a,321,cycle
2f,561a6fc5e300,respond,L1 responds to core,a,321,cycle
2f,561a6fc5e300,updaDat,L1 attempts to update its data array,a,321,cycle
2f,561a6fc5e300,wrCache,L1: New data written to cache,a,321,cycle
2f,561a6fc5e300,respond,L1 responds to core,a,322,cycle
2f,561a6fc5e300,add2q_u,L1 receives message from the bus,0,326,cycle
2f,561a6fc5e300,respond,L1 responds to core,0,326,cycle
2f,561a6fc5e300,updaDat,L1 attempts to update its data array,0,326,cycle
2f,561a6fc5e300,wrCache,L1: New data written to cache,0,326,cycle
30,561a6fc5e304,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
30,561a6fc5e304,wrCache,L1: New data written to cache,0,ffffffff,cycle
30,561a6fc5e304,wrCache,L1: New data written to cache,a,ffffffff,cycle
30,561a6fc5e304,hitActn,L1: request is a hit,0,fffffffe,cycle
30,561a6fc5e304,hitActn,L1: request is a hit,0,326,cycle
32,561a6fc5e308,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
32,561a6fc5e308,wrCache,L1: New data written to cache,0,ffffffff,cycle
32,561a6fc5e308,wrCache,L1: New data written to cache,a,ffffffff,cycle
32,561a6fc5e308,hitActn,L1: request is a hit,0,fffffffe,cycle
32,561a6fc5e308,hitActn,L1: request is a hit,0,326,cycle
33,561a6fc5e30c,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
33,561a6fc5e30c,wrCache,L1: New data written to cache,0,ffffffff,cycle
33,561a6fc5e30c,wrCache,L1: New data written to cache,a,ffffffff,cycle
33,561a6fc5e30c,hitActn,L1: request is a hit,0,fffffffe,cycle
33,561a6fc5e30c,hitActn,L1: request is a hit,0,326,cycle
35,561a6fc5e310,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
35,561a6fc5e310,wrCache,L1: New data written to cache,0,ffffffff,cycle
35,561a6fc5e310,wrCache,L1: New data written to cache,a,ffffffff,cycle
35,561a6fc5e310,hitActn,L1: request is a hit,0,fffffffe,cycle
35,561a6fc5e310,hitActn,L1: request is a hit,0,326,cycle
36,561a6fc5e314,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
36,561a6fc5e314,wrCache,L1: New data written to cache,0,ffffffff,cycle
36,561a6fc5e314,wrCache,L1: New data written to cache,a,ffffffff,cycle
36,561a6fc5e314,hitActn,L1: request is a hit,0,fffffffe,cycle
36,561a6fc5e314,hitActn,L1: request is a hit,0,326,cycle
37,561a6fc5e318,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
37,561a6fc5e318,wrCache,L1: New data written to cache,0,ffffffff,cycle
37,561a6fc5e318,wrCache,L1: New data written to cache,a,ffffffff,cycle
