IM_dS,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,IM_dSI,,Hit/MS_d,IM_dSI,,Fault/
IM_dSI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/SI_d,,,Fault/
S,1,1,Hit/,GetM/SM_ad,SendInv/I,Fault/,Fault/,Fault/,,SendInv/I,,Fault/,SendInv/I,SendInv/I,Fault/
SM_ad,0,1,Hit/,Stall/,Stall/,Fault/,SM_d,Fault/,,IM_ad,,SM_a,IM_ad,,Fault/
SM_d,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,SendInv/SaveReq/SM_dS,SendInv/SaveReq/SM_dI,,Hit/M,SendInv/SaveReq/IM_dI,,Fault/
SM_a,0,1,Hit/,Stall/,Stall/,Fault/,Hit/M,Fault/,,IM_a,Fault/,Fault/,IM_a,,Fault/
SM_dI,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/MI_d,,,Fault/
SM_dS,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,SM_dSI,,Hit/MS_d,SM_dSI,,Fault/
SM_dSI,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/SI_d,,,Fault/
M,1,1,Stall/,Stall/,PutM/SendInv/MI_ad,Fault/,Fault/,Fault/,SendInv/SaveReq/MS_d,SendInv/SaveReq/MI_d,,Fault/,SendInv/MI_d,SendInv/I,SaveData/MM
MI_ad,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,MI_d,SaveReq/MSI_d,SaveReq/MII_d,,Fault/,SaveReq/MII_d,,SaveData/MI_a
MI_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Data2Req/I,Data2Both/II_a,Data2Req/II_a,,Fault/,Data2Req/II_a,,Fault/
MI_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,,Data2Req/I
MS_d,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,,Data2Both/S
MII_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,MI_d,,,,Fault/,,,Data2Req/II_a
II_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,I,,,,Fault/,,,Fault/
MSI_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,SI_d,,,,Fault/,,,Data2Both/II_a
SI_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,,Data2Both/I
MM,1,1,Hit/,Hit/M,PutM/SendInv/MI_a,Fault/,Fault/,Fault/,Data2Both/S,Data2Req/SendInv/I,,Fault/,Data2Req/SendInv/I,I,Fault/
